bay_id,rd_seg_dsc,lat,lon
5031,Molesworth Street between Harker Street and Abbotsford Street,-37.82841181,144.9666092
5361,George Street between Hoddle Street and Simpson Street,-37.82409823,144.962115
5432,Leopold Street between Toorak Road and Domain Road,-37.81373438,144.9777875
1063,Palmerston Street between Nicholson Street and Station Street,-37.81833393,144.9622309
1398,Nicholson Street between Palmerston Street and Kay Street,-37.81863544,144.9637424
1980,Kavanagh Street between Power Street and Balston Street,-37.80997748,144.9662277
6595,High Street between St Kilda Road and Punt Road,-37.81411193,144.9404982
2126,Pitt Street between Canning Street and Rathdowne Street,-37.80907571,144.9658338
4360,Queensberry Street between Curzon Street and Abbotsford Street,-37.80710988,144.9538411
6413,Jolimont Road between Brunton Avenue and Wellington Parade South,-37.81980591,144.9453547
801,Rathdowne Street between Neill Street and Princes Street,-37.81165696,144.9703719
5923,Tennyson Street between Southey Street and Arden Street,-37.80282444,144.9674792
3088,Pearl River Road between Footscray Road and Docklands Drive,-37.80526092,144.9573016
1868,Grattan Street between Drummond Street and Lygon Street,-37.8149171,144.9570967
1107,Cardigan Street between Keppel Street and Lytton Street,-37.81444956,144.9604465
6332,Royal Parade between MacArthur Road and Leonard Street,-37.81949229,144.9504366
6598,Douglas Street between Turner Street and Cook Street,-37.81427414,144.9405956
5644,Birdwood Avenue between Dallas Brooks Drive and Domain Road,-37.80975179,144.9768743
3076,Docklands Drive between Waterfront Way and Pearl River Road,-37.80558031,144.9571182
4372,Hotham Street between Hoddle Street and Simpson Street,-37.80743963,144.9531662
951,Cardigan Street between Keppel Street and Lytton Street,-37.81135347,144.9674335
6581,Douglas Street between Turner Street and Cook Street,-37.81245601,144.9408281
3818,Fitzgibbon Street between Story Street and Morrah Street,-37.80728264,144.9543619
4358,Macaulay Road between Boundary Road and Langford Street,-37.80708349,144.9538956
5206,Punt Road between Moubray Street and Commercial Road,-37.81073491,144.9515377
2100,Palmerston Street between Nicholson Street and Station Street,-37.80792971,144.9697571
831,Faraday Street between Rathdowne Street and Drummond Street,-37.80925359,144.969272
1530,Faraday Street between Rathdowne Street and Drummond Street,-37.81374004,144.9722359
1981,Kavanagh Street between Power Street and Balston Street,-37.809996,144.9661638
6333,Cook Street between Salmon Street and Todd Road,-37.81954177,144.9504757
5806,Lorimer Street between West Gate Bridge and Todd Road,-37.81576123,144.9804762
750,Faraday Street between Lygon Street and Cardigan Street,-37.81550777,144.9721482
3191,McCrae Street between Wurundjeri Way and Batmans Hill Drive,-37.80833177,144.9547216
2191,Canning Street between Elgin Street and Palmerston Street,-37.81126204,144.9578852
883,Rathdowne Street between Neill Street and Princes Street,-37.81149444,144.9673738
2480,Anderson Street between Miller Street and Victoria Street,-37.81063168,144.967886
3802,Sims Square between Howlett Street and Gregory Lane,-37.80811659,144.9547472
3159,Waterview Walk between Bourke Street and Batmans Hill Drive,-37.81019019,144.9555698
4172,Riverside Quay between Cook Street and Southgate Avenue,-37.80837237,144.959712
6183,Queensberry Street between Chetwynd Street and Leveson Street,-37.81989374,144.9432877
742,Palmerston Street between Nicholson Street and Canning Street,-37.81575044,144.9722607
2686,Dodds Street between Southbank Boulevard and Grant Street,-37.80366438,144.9494202
4328,Alexandra Avenue between Swan Street Bridge and Anderson Street,-37.80925114,144.956219
5067,Albert Street between Nicholson Street and Gisborne Street,-37.82516027,144.9699686
5697,Arden Street between Fogarty Street and Langford Street,-37.81014496,144.9804679
5574,St Kilda Road between Armadale Street and Commercial Road,-37.81114848,144.9833041
8299,Intersection of Linlithgow Avenue and St Kilda Road,-37.80735958,144.9589161
3351,Kay Street between Nicholson Street and Station Street,-37.81053313,144.9566557
6134,Birdwood Avenue between Dallas Brooks Drive and Domain Road,-37.81976392,144.9440489
835,Station Street between Kay Street and Princes Street,-37.80889489,144.9691075
940,Cardigan Street between Faraday Street and Elgin Street,-37.81327277,144.9683137
2546,Carlton Street between Canning Street and Rathdowne Street,-37.81331156,144.9587342
6019,Clarendon Street between Wellington Parade and George Street,-37.8212014,144.9470898
7873,St Kilda Road between Slater Street and Armadale Street,-37.81308442,144.9543313
4402,City Road between Southbank Boulevard and Power Street,-37.80791181,144.952194
5255,Haines Street between Curzon Street and Abbotsford Street,-37.81203413,144.9514041
2589,Elgin Street between Rathdowne Street and Drummond Street,-37.81394635,144.9565121
3109,Enterprize Way from Bourke Street,-37.80479673,144.9573923
2458,,-37.81034687,144.9688575
2651,Coventry Street between Dodds Street and Sturt Street,-37.80487227,144.9492079
4421,Pasley Street between Pasley Street North and Pasley Street South,-37.80368201,144.9552487
6509,Chetwynd Street between Rosslyn Street and Stanley Street,-37.81414343,144.9373649
6438,Macaulay Road between Barnett Street and Eastwood Street,-37.81969704,144.9458816
3615,Royal Parade between Morrah Street and Story Street,-37.8059324,144.9556179
1750,Faraday Street between Rathdowne Street and Drummond Street,-37.81237663,144.969833
1278,Intersection of Rathdowne Street and Neill Street,-37.81318242,144.9543772
6083,Domain Street between Toorak Road and Bromby Street,-37.8194601,144.945414
6525,Arden Street between Laurens Street and Fogarty Street,-37.81224485,144.9360968
8346,Fitzgibbon Street between Bayles Street and Degraves Street,-37.81243622,144.9678039
8296,Taylor Mews between Fairbairn Drive and Hobsons Road,-37.8073272,144.9590277
2308,Kavanagh Street between Power Street and Balston Street,-37.81048229,144.9680731
6484,Royal Parade between Morrah Street and Story Street,-37.81548577,144.9368171
5058,Miller Street between Curzon Street and Abbotsford Street,-37.82526432,144.9699821
4293,Auckland Lane from Cade Way,-37.80941294,144.9559847
5262,Matthews Mews from Flockhart Street,-37.81097384,144.9531044
2657,Nicholson Street between Kay Street and Princes Street,-37.80459147,144.9494476
